timestamp_utc,run_name,phase,epoch,global_step,cpu_percent,ram_percent,ram_used_mb,process_rss_mb,gpu_allocated_mb,gpu_reserved_mb,gpu_max_allocated_mb
2026-02-28T02:43:25.455718+00:00,accum_bs8_acc4,train,1,50,11.1,44.7,14218.2109375,1898.3984375,195.43212890625,452.0,1355.33056640625
2026-02-28T02:43:26.136104+00:00,accum_bs8_acc4,train,1,100,29.6,44.3,14098.0234375,1898.40234375,151.3525390625,452.0,1355.33056640625
2026-02-28T02:43:26.801660+00:00,accum_bs8_acc4,train,1,150,30.6,44.8,14242.5703125,1898.40234375,195.43212890625,452.0,1355.33056640625
2026-02-28T02:43:27.468993+00:00,accum_bs8_acc4,train,1,200,31.9,44.4,14109.3515625,1898.45703125,151.3525390625,452.0,1355.33056640625
2026-02-28T02:43:28.125388+00:00,accum_bs8_acc4,train,1,250,28.3,44.8,14243.2890625,1902.078125,195.43212890625,452.0,1355.33056640625
2026-02-28T02:43:28.783761+00:00,accum_bs8_acc4,train,1,300,29.8,44.3,14092.77734375,1898.5,151.3525390625,452.0,1355.33056640625
2026-02-28T02:43:29.445582+00:00,accum_bs8_acc4,train,1,350,34.6,44.7,14223.07421875,1898.51953125,195.43212890625,452.0,1355.33056640625
2026-02-28T02:43:30.104319+00:00,accum_bs8_acc4,train,1,400,29.0,45.2,14372.73046875,1898.73828125,151.3525390625,452.0,1355.33056640625
2026-02-28T02:43:30.760423+00:00,accum_bs8_acc4,train,1,450,29.1,44.7,14214.6640625,1898.73828125,195.43212890625,452.0,1355.33056640625
2026-02-28T02:43:31.419723+00:00,accum_bs8_acc4,train,1,500,31.2,45.1,14355.4453125,1901.31640625,151.3525390625,452.0,1355.33056640625
2026-02-28T02:43:32.079660+00:00,accum_bs8_acc4,train,1,550,28.7,44.7,14216.33984375,1898.8671875,195.43212890625,452.0,1355.33056640625
2026-02-28T02:43:32.736378+00:00,accum_bs8_acc4,train,1,600,31.3,45.1,14348.90234375,1898.8671875,151.3525390625,452.0,1355.33056640625
2026-02-28T02:43:33.388163+00:00,accum_bs8_acc4,train,1,650,31.9,44.7,14214.31640625,1898.8671875,195.43212890625,452.0,1355.33056640625
2026-02-28T02:43:34.054507+00:00,accum_bs8_acc4,train,1,700,31.7,45.1,14330.51171875,1898.8671875,151.3525390625,452.0,1355.33056640625
2026-02-28T02:43:34.705784+00:00,accum_bs8_acc4,train,1,750,29.1,44.7,14199.37890625,1899.02734375,195.43212890625,452.0,1355.33056640625
2026-02-28T02:43:35.370222+00:00,accum_bs8_acc4,train,1,800,28.2,45.1,14331.40625,1899.02734375,151.3525390625,452.0,1355.33056640625
2026-02-28T02:43:36.040152+00:00,accum_bs8_acc4,train,1,850,29.9,44.6,14193.50390625,1899.02734375,195.43212890625,452.0,1355.33056640625
2026-02-28T02:43:36.708024+00:00,accum_bs8_acc4,train,1,900,28.8,45.1,14328.48046875,1901.66015625,151.3525390625,452.0,1355.33056640625
2026-02-28T02:43:37.375125+00:00,accum_bs8_acc4,train,1,950,28.5,44.5,14161.54296875,1899.0390625,195.43212890625,452.0,1355.33056640625
2026-02-28T02:43:38.045435+00:00,accum_bs8_acc4,train,1,1000,29.4,45.0,14311.0390625,1900.7890625,151.3525390625,452.0,1355.33056640625
2026-02-28T02:43:38.699959+00:00,accum_bs8_acc4,train,1,1050,29.2,44.6,14167.17578125,1903.734375,195.43212890625,452.0,1355.33056640625
2026-02-28T02:43:39.363170+00:00,accum_bs8_acc4,train,1,1100,30.0,45.0,14309.61328125,1899.1640625,151.3525390625,452.0,1355.33056640625
2026-02-28T02:43:40.037329+00:00,accum_bs8_acc4,train,1,1150,27.9,44.5,14165.2109375,1899.1875,195.43212890625,452.0,1355.33056640625
2026-02-28T02:43:40.706046+00:00,accum_bs8_acc4,train,1,1200,30.3,45.0,14311.14453125,1899.21484375,151.3525390625,452.0,1355.33056640625
2026-02-28T02:43:41.372803+00:00,accum_bs8_acc4,train,1,1250,27.7,44.6,14177.171875,1899.23828125,195.43212890625,452.0,1355.33056640625
2026-02-28T02:43:42.037217+00:00,accum_bs8_acc4,train,1,1300,27.8,45.0,14300.140625,1899.27734375,151.3525390625,452.0,1355.33056640625
2026-02-28T02:43:42.695346+00:00,accum_bs8_acc4,train,1,1350,27.2,44.5,14160.94140625,1902.16796875,195.43212890625,452.0,1355.33056640625
2026-02-28T02:43:43.372989+00:00,accum_bs8_acc4,train,1,1400,36.9,45.0,14293.44140625,1902.60546875,151.3525390625,452.0,1355.33056640625
2026-02-28T02:43:44.037181+00:00,accum_bs8_acc4,train,1,1450,29.5,44.5,14158.94921875,1899.41015625,195.43212890625,452.0,1355.33056640625
2026-02-28T02:43:44.696722+00:00,accum_bs8_acc4,train,1,1500,27.1,45.0,14293.91796875,1899.44140625,151.3525390625,452.0,1355.33056640625
2026-02-28T02:43:45.354258+00:00,accum_bs8_acc4,train,1,1550,27.3,44.5,14152.203125,1900.47265625,195.43212890625,452.0,1355.33056640625
2026-02-28T02:43:46.015441+00:00,accum_bs8_acc4,train,1,1600,28.2,45.0,14302.01953125,1899.48828125,151.3525390625,452.0,1355.33056640625
2026-02-28T02:43:46.675422+00:00,accum_bs8_acc4,train,1,1650,29.0,44.5,14140.0625,1899.515625,195.43212890625,452.0,1355.33056640625
2026-02-28T02:43:47.333461+00:00,accum_bs8_acc4,train,1,1700,27.6,44.9,14276.5390625,1899.91015625,151.3525390625,452.0,1355.33056640625
2026-02-28T02:43:47.996338+00:00,accum_bs8_acc4,train,1,1750,29.7,44.4,14130.5234375,1899.91015625,195.43212890625,452.0,1355.33056640625
2026-02-28T02:43:48.666402+00:00,accum_bs8_acc4,train,1,1800,31.2,44.9,14263.390625,1899.91015625,151.3525390625,452.0,1355.33056640625
2026-02-28T02:43:49.328779+00:00,accum_bs8_acc4,train,1,1850,27.5,44.4,14127.09375,1899.91015625,195.43212890625,452.0,1355.33056640625
2026-02-28T02:43:49.995732+00:00,accum_bs8_acc4,train,1,1900,29.2,44.9,14268.671875,1899.91015625,151.3525390625,452.0,1355.33056640625
2026-02-28T02:43:50.664540+00:00,accum_bs8_acc4,train,1,1950,28.7,44.4,14123.9609375,1899.91015625,195.43212890625,452.0,1355.33056640625
2026-02-28T02:43:51.335092+00:00,accum_bs8_acc4,train,1,2000,28.0,44.8,14248.69921875,1899.91015625,151.3525390625,452.0,1355.33056640625
2026-02-28T02:43:51.999995+00:00,accum_bs8_acc4,train,1,2050,27.7,44.4,14121.03125,1899.91015625,195.43212890625,452.0,1355.33056640625
2026-02-28T02:43:52.670363+00:00,accum_bs8_acc4,train,1,2100,27.4,44.8,14245.859375,1899.91015625,151.3525390625,452.0,1355.33056640625
2026-02-28T02:43:53.354366+00:00,accum_bs8_acc4,train,1,2150,30.8,44.4,14116.015625,1899.91015625,195.43212890625,452.0,1355.33056640625
2026-02-28T02:43:54.034192+00:00,accum_bs8_acc4,train,1,2200,29.0,44.8,14251.11328125,1899.91015625,151.3525390625,452.0,1355.33056640625
2026-02-28T02:43:54.698675+00:00,accum_bs8_acc4,train,1,2250,27.3,44.4,14109.96484375,1899.91015625,195.43212890625,452.0,1355.33056640625
2026-02-28T02:43:55.366238+00:00,accum_bs8_acc4,train,1,2300,28.7,44.8,14248.703125,1900.41796875,151.3525390625,452.0,1355.33056640625
2026-02-28T02:43:56.033717+00:00,accum_bs8_acc4,train,1,2350,28.2,44.4,14108.87890625,1900.41796875,195.43212890625,452.0,1355.33056640625
2026-02-28T02:43:56.697236+00:00,accum_bs8_acc4,train,1,2400,28.9,44.8,14246.984375,1900.41796875,151.3525390625,452.0,1355.33056640625
2026-02-28T02:43:57.357128+00:00,accum_bs8_acc4,train,1,2450,27.3,45.2,14374.81640625,1900.41796875,195.43212890625,452.0,1355.33056640625
2026-02-28T02:43:58.018047+00:00,accum_bs8_acc4,train,1,2500,27.6,44.8,14235.01953125,1900.41796875,151.3525390625,452.0,1355.33056640625
2026-02-28T02:43:58.684917+00:00,accum_bs8_acc4,train,1,2550,30.7,45.2,14362.328125,1900.41796875,195.43212890625,452.0,1355.33056640625
2026-02-28T02:43:59.347856+00:00,accum_bs8_acc4,train,1,2600,29.2,44.7,14227.046875,1900.41796875,151.3525390625,452.0,1355.33056640625
2026-02-28T02:44:00.007712+00:00,accum_bs8_acc4,train,1,2650,28.9,45.2,14370.41015625,1900.41796875,195.43212890625,452.0,1355.33056640625
2026-02-28T02:44:00.671749+00:00,accum_bs8_acc4,train,1,2700,28.1,44.7,14214.15234375,1900.41796875,151.3525390625,452.0,1355.33056640625
2026-02-28T02:44:01.330036+00:00,accum_bs8_acc4,train,1,2750,28.7,45.2,14359.171875,1900.41796875,195.43212890625,452.0,1355.33056640625
2026-02-28T02:44:01.990515+00:00,accum_bs8_acc4,train,1,2800,27.9,44.7,14215.328125,1900.41796875,151.3525390625,452.0,1355.33056640625
2026-02-28T02:44:02.647647+00:00,accum_bs8_acc4,train,1,2850,28.2,45.1,14349.09765625,1900.41796875,195.43212890625,452.0,1355.33056640625
2026-02-28T02:44:03.328262+00:00,accum_bs8_acc4,train,1,2900,27.6,44.7,14198.828125,1900.41796875,151.3525390625,452.0,1355.33056640625
2026-02-28T02:44:04.004368+00:00,accum_bs8_acc4,train,1,2950,31.6,45.1,14342.609375,1898.89453125,195.43212890625,452.0,1355.33056640625
2026-02-28T02:44:04.670207+00:00,accum_bs8_acc4,train,1,3000,28.6,44.7,14201.92578125,1898.89453125,151.3525390625,452.0,1355.33056640625
2026-02-28T02:44:05.342476+00:00,accum_bs8_acc4,train,1,3050,28.1,45.1,14335.90234375,1897.88671875,195.43212890625,452.0,1355.33056640625
